,order_number,order_date,customer_names,channel,product_name,order_quantity,unit_price,revenue,total unit cost,state,county,state_name,region,lat,long,budget,total_cost,profit,profit_margin_pct,order_month_name,order_month_num,order_month
0,SO - 000225,01-01-2014,Rhynoodle Ltd,Wholesale,Product 27,6,2499.1,14994.6,1824.343,GA,Chatham County,Georgia,South,32.08354,-81.09983,,10946.058,4048.542,27,January,1,2014-01
1,SO - 0003378,01-01-2014,Thoughtmix Ltd,Distributor,Product 20,11,2351.7,25868.7,1269.918,IN,Johnson County,Indiana,Midwest,39.61366,-86.10665,,13969.098,11899.602,46,January,1,2014-01
2,SO - 0005126,01-01-2014,Amerisourc Corp,Wholesale,Product 26,6,978.2,5869.2,684.74,CA,Alameda County,California,West,37.66243,-121.87468,,4108.44,1760.76,30,January,1,2014-01
3,SO - 0005614,01-01-2014,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.1,1028.852,IN,Monroe County,Indiana,Midwest,39.16533,-86.52639,,7201.964,9166.136,56,January,1,2014-01
4,SO - 0005781,01-01-2014,Deseret Group,Wholesale,Product 8,8,2291.4,18331.2,1260.27,CT,Hartford County,Connecticut,Northeast,41.77524,-72.52443,,10082.16,8249.04,45,January,1,2014-01
5,SO - 0010394,01-01-2014,Zoovu Corp,Export,Product 23,11,5219.3,57412.3,4332.019,MN,Hennepin County,Minnesota,Midwest,44.9133,-93.50329,,47652.209,9760.091,17,January,1,2014-01
6,SO - 0008865,01-01-2014,Kare Corp,Wholesale,Product 1,7,2874.3,20120.1,1667.094,MA,Norfolk County,Massachusetts,Northeast,42.32385,-71.142,,11669.658,8450.442,42,January,1,2014-01
7,SO - 0009909,01-01-2014,State Ltd,Wholesale,Product 25,10,1045.2,10452,679.38,CA,Los Angeles County,California,West,34.05529,-117.75228,,6793.8,3658.2,35,January,1,2014-01
8,SO - 0001912,01-01-2014,Lazzy Group,Wholesale,Product 13,5,3852.5,19262.5,2966.425,UT,Salt Lake County,Utah,West,40.56217,-111.92966,,14832.125,4430.375,23,January,1,2014-01
9,SO - 0002683,01-01-2014,Zooveo Company,Export,Product 14,12,2914.5,34974,1311.525,NC,Alamance County/Guilford County,North Carolina,South,36.07613,-79.4683,,15738.3,19235.7,55,January,1,2014-01
